Trip Id,Trip Duration (seconds),Start Station Id,Start Time,Start Station Name,End Station Id,End Time,End Station Name,Bike Id,User Type,Hour,AM_PM,Month,DayOfWeek,lat,lon,capacity,is_charging_station,nearby_distance,is_valet_station,weather_region,Temp (°C),Precip. Amount (mm)
31797621,2387,7584,09/01/2024 00:02,The Pond Rd / Sentinel Rd,7584,09/01/2024 00:42,The Pond Rd / Sentinel Rd,6122,Casual Member,0,AM,September,Sunday,43.7696262,-79.5025943,27.0,False,1609.34,,TORONTO_NORTH_YORK,,
31797623,1102,7257,09/01/2024 00:02,Dundas St W / St. Patrick St,7781,09/01/2024 00:20,St Clair Ave W / Avenue Rd ,7654,Casual Member,0,AM,September,Sunday,43.6545174,-79.3895315,19.0,False,1000.0,,TORONTO_CITY,18.9,0.0
31797624,1150,7720,09/01/2024 00:02,King St W / Portland St,7272,09/01/2024 00:21,Yonge St / Dundonald St - SMART,4613,Casual Member,0,AM,September,Sunday,43.644395,-79.40065430000001,32.0,False,350.0,,TORONTO_CITY_CENTRE,19.8,0.0
31797627,2375,7584,09/01/2024 00:02,The Pond Rd / Sentinel Rd,7584,09/01/2024 00:42,The Pond Rd / Sentinel Rd,9039,Casual Member,0,AM,September,Sunday,43.7696262,-79.5025943,27.0,False,1609.34,,TORONTO_NORTH_YORK,,
31797628,1176,7203,09/01/2024 00:03,Bathurst St/Queens Quay(Billy Bishop Airport),7418,09/01/2024 00:22,College Park - Yonge St Entrance,6585,Casual Member,0,AM,September,Sunday,43.635492,-79.398253,34.0,False,500.0,,TORONTO_CITY_CENTRE,19.8,0.0
31797629,1119,7113,09/01/2024 00:03,Parliament St / Aberdeen Ave,7261,09/01/2024 00:21,Queens Quay E / Lower Sherbourne St,1299,Casual Member,0,AM,September,Sunday,43.665278,-79.368333,15.0,False,500.0,,TORONTO_CITY,18.9,0.0
31797631,378,7203,09/01/2024 00:03,Bathurst St/Queens Quay(Billy Bishop Airport),7043,09/01/2024 00:09,Queens Quay W / Lower Simcoe St,2770,Annual Member,0,AM,September,Sunday,43.635492,-79.398253,34.0,False,500.0,,TORONTO_CITY_CENTRE,19.8,0.0
31797632,1533,7941,09/01/2024 00:03,,7041,09/01/2024 00:28,Edward St / Yonge St,4414,Casual Member,0,AM,September,Sunday,43.639547,-79.420022,15.0,False,100.0,,TORONTO_CITY_CENTRE,19.8,0.0
31797633,415,7766,09/01/2024 00:03,Albany Ave / Bloor St W,7531,09/01/2024 00:10,541 Huron St - SMART,6376,Casual Member,0,AM,September,Sunday,43.66554144421798,-79.41010317605742,14.0,False,300.0,,TORONTO_CITY,18.9,0.0
31797634,645,7207,09/01/2024 00:03,Dundas St W / Crawford St,7666,09/01/2024 00:14,Dundas St W / St Helen's Ave - SMART,4397,Casual Member,0,AM,September,Sunday,43.649722,-79.416944,47.0,False,500.0,False,TORONTO_CITY,18.9,0.0
31797636,541,7217,09/01/2024 00:03,Soho St / Queen St W,7720,09/01/2024 00:12,King St W / Portland St,1543,Casual Member,0,AM,September,Sunday,43.649649714291584,-79.39372141352654,15.0,False,500.0,,TORONTO_CITY,18.9,0.0
31797637,1983,7075,09/01/2024 00:03,Queens Quay W / Dan Leckie Way,7462,09/01/2024 00:36,Richmond St E / Yonge St,46,Casual Member,0,AM,September,Sunday,43.636533,-79.395854,27.0,False,500.0,,TORONTO_CITY_CENTRE,19.8,0.0
31797639,257,7791,09/01/2024 00:03,Ossington Ave / Bruce St,7534,09/01/2024 00:08,Walnut Ave / Queen St W,1494,Casual Member,0,AM,September,Sunday,43.64570236705167,-79.41933192053696,15.0,False,350.0,,TORONTO_CITY_CENTRE,19.8,0.0
31797640,792,7043,09/01/2024 00:03,Queens Quay W / Lower Simcoe St,7014,09/01/2024 00:16,Sherbourne St / Carlton St (Allan Gardens),7120,Casual Member,0,AM,September,Sunday,43.63951,-79.383717,19.0,False,500.0,,TORONTO_CITY_CENTRE,19.8,0.0
